Jurisdicción,Fuente,Fecha de carga,Año de Publicación de la Guia,Programa,ID Programas,Nombre Programa,Ministerio/ Organismo descentralizado,Secretaría ,Sub Secretaría ,Dirección/ unidad,Año de Implementacion Programa,Se encuentra bajo un Plan?,Plan,Clasificador A - Temática,Clasificador Sistema,Objetivo general,Objetivos específicos,Normativa,Población destinataria,Requisitos de Accesibilidad,Criterios de elegibilidad,¿Cuál es el alcance del programa?,Prestación,ID Prestación,Tipo de prestación,Modalidad de ejecución,Tipo de destinatario,Cargo Funcionario,Nombre Funcionario,Nombre Refrente
38. Jujuy,1. Primaria,2024-07-30,2023,CENTRO CULTURAL DE LA TUPAC ,,CENTRO CULTURAL DE LA TUPAC ,Ministerio de Desarrollo Humano,Secretaría De Desarrollo Humano,,Dirección Centro Cultural de la Tupac ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Desarrollar las capacidades de contención de cada miembro de la comunidad barrial, fomentando habilidades y destrezas que contribuyan a la autonomía e integridad, promocionando los derechos de niños, niñas, adolescentes y personas adultas mayores, respetando las creencias religiosas y culturales. ","Generar espacios de recreación en los tiempos libres, de vacaciones escolares, tanto para niños como para adultos; convocar a la participación familiar, como valor principal; Dictar cursos que sean beneficiosos para el desarrollo de emprendimientos y salida laboral; Ser nexo entre otras Instituciones, como ente de gestión para atender necesidades urgentes, barriales y sociales; Trabajar junto a otras Instituciones (escuelas, iglesias- centros vecinales - deportivas, teatros), poniendo al servicio las instalaciones del Centro Cultural para eventos sin fines de lucro; Trabajar en la toma de conciencia de crianza de mascotas de forma responsable, teniendo en cuenta la gran cantidad de animales sueltos; Acercar servicios móviles de salud odontológica, para concientizar sobre la importancia de la salud bucal y así evitar que se propaguen en los grupos familiares las caries y enfermedades infecciosas graves; Trabajar mancomunadamente con los Organismos del Gobierno Provincial, Municipal, y las instituciones intermedias Barriales para fortalecer o restituir derechos. ",Decreto Provincial 7121-DH/2023. ,"Niños, niñas, adolescentes y personas Adultas Mayores de la comunidad barrial y vecinos de zonas aledañas. ",Acceso libre y gratuito. ,SD,3. Departamentos/ municipios priorizados,Refuerzo Alimentario; Reuniones de reverencia; Escuelas Deportivas; Acompañamiento en el proceso escolar; Práctica deportiva para Adultos Mayores; Comedia musical para niños; Cursos de Capacitación de Oficios;  Certamen y torneos de ajedrez ,,,,,Director delCentro Cultural de la Tupac ,Sra. María Quiroz ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROYECTO DE ESCUELA DE VERANO ,,PROYECTO DE ESCUELA DE VERANO ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,5-Educación,2-No contributivo,Fortalecer y garantizar el acompañamiento a los estudiantes en el receso de verano  ," Permitir a niños, niñas y adolescentes de los niveles educativos, primario y secundario una activa participación formativa; Favorecer y estimular la práctica deportiva tradicional y no convencional; Fortalecer las acciones lúdicas y recreativas. ",Decreto 7121- DH/2023 ,"Niñas, niños, Adolescentes y Adultos Mayores. ","Recepción de solicitudes presencial, telefónica y virtual (e-mail, Messenger, etc.)  ",SD,3. Departamentos/ municipios priorizados,"Talleres; Capacitaciones; Mesa de Trabajo; El Desarrollar capacidades, habilidades y competencias apuntan al desarrollo humano como derecho, por medio de talleres y capacitaciones la adquisición de saberes y destrezas fortalecen los vínculos familiares. Las habilidades destrezas recrean los saberes y la competencia creando vínculos de compañerismo a través del deporte. ",,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Sr. Fernando Verazay ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA CIUDADES INCLUSIVAS ,,PROGRAMA CIUDADES INCLUSIVAS ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Promover y garantizar el derecho a la participación e inclusión en la vida social de personas mayores, personas con discapacidad y comunidades aborígenes de nuestra provincia en un marco de inclusión e igualdad social. ","Generar escenarios o espacios de encuentro e inclusión social en igualdad de condiciones convirtiendo a las ciudades jujeñas organizadoras en ciudades más inteligentes, inclusivas, funcionales, saludables y felices donde las personas puedan disfrutar del espacio público, recuperando la ideología: “devolver las ciudades a las personas”; Posibilitar a través de las recreaciones y el disfrute de actividades culturales, artísticas y deportivas la inclusión e integración junto a la concientización en buenos tratos a personas con discapacidad, personas mayores y personas de comunidades rurales.  ",Decreto Provincial 7121-DH/2023. ,"Directa: Personas con discapacidad de la ciudad organizadora, de cualquier edad, personas mayores de la ciudad organizadora, personas de comunidades originarias y rurales cercanas a la ciudad o localidad organizadora; Indirecta: Familias, infancias, promoción estudiantil 2023, comunidad en general, comunidad LGTBIQ de la ciudad o localidad organizadora.",Acceso libre y gratuito. ,SD,3. Departamentos/ municipios priorizados,"Se brindan servicios culturales como baile, representaciones artísticas, juegos recreativos y expresivos, stand de emprendedores, show en vivo. Meriendas, muestras de campañas de concientización, entre otros. Dichas actividades se realizaron en espacios abiertos y públicos, siendo en San Pedro y Perico las plazas centrales de la ciudad, en donde permitió a las personas presente desarrollar y utilizar su potencial creativo artístico e intelectual. ",,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Sr. Fernando Verazay ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA DE DESARROLLO SOCIAL E INTERCULTURAL,,PROGRAMA DE DESARROLLO SOCIAL E INTERCULTURAL,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,2-Promoción del Empleo,2-No contributivo,"Promover y ampliar las condiciones de inclusión y desarrollo social de personas en situación de vulnerabilidad social, y contribuir a la formación del capital humano para el desarrollo económico y social. ","Otorgar posibilidades de promoción social y de inclusión a la economía local, a personas en situación vulnerabilidad social; Asistir al emprendedor desde el inicio de su idea proyecto o continuación del mismo, como salida de una situación de riesgo de exclusión social; Facilitar las herramientas necesarias para el desarrollo de las actividades propuestas por los beneficiarios; Motivar la innovación tecnológica en los emprendimientos económicos ya conformados y en desarrollo para su mejor inserción en la comunidad; Potenciar y consolidar el asociativismo y promover la cultura de la cooperación. ",Decreto Provincial 7121-DH/2023. ,Personas rurales e interculturales ,Realizar la inscripción correspondiente – Presentar copia de DNI – Las actividades son gratuitas. ,SD,3. Departamentos/ municipios priorizados,Equipamiento Tecnológico; Maquinarias; Herramientas; Insumos ,,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Sr. Fernando Verazay ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA DE ABORDAJE A PERSONAS EN SITUACIÓN DE CALLE ,,PROGRAMA DE ABORDAJE A PERSONAS EN SITUACIÓN DE CALLE ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Diseñar e implementar un programa destinado a personas en situación de calle de la Provincia de Jujuy, restituyendo derechos y articulando acciones con diferentes organismos Ministeriales, Municipios, Comisiones Municipales, iglesia y actores de la sociedad civil entre otros, previa firma de convenio. "," Llevar adelante un abordaje integral de cada una de las personas en situación de calle; Impulsar el reconocimiento de sus derechos para superar la habitabilidad en calle.; Resaltar y fomentar aptitudes para el desarrollo de sus capacidades y el aumento de sus recursos psicosociales y socio laborales; Establecer estrategias de reintegración comunitaria laboral y familiar; Fortalecer espacios, dispositivos gubernamentales junto a la sociedad civil; Abordaje a las personas en situación de calle con opciones a terapias alternativas. ",Decreto Provincial 7121-DH/2023. ,Personas en situación de calle. ,Acceso libre y gratuito ,SD,3. Departamentos/ municipios priorizados,Captación de casos; Atención al Público; Atención Telefónica; Recorridos Barriales  ,,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Sr. Fernando Verazay ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA ENVEJECIMINETO ACTIVO ,,PROGRAMA ENVEJECIMINETO ACTIVO ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Extender la esperanza de vida saludable y la calidad de vida de todas las personas, permitiéndole a las personas mayores contar con más independencia, autonomía, participación y dignidad. ","Promover el derecho a la Cultura, al esparcimiento e integración comunitaria en adultos mayores de la provincia de Jujuy en pos de una mejor calidad de vida; Favorecer el potencial creativo, artístico e intelectual de adultos mayores cómo agente transmisor de valores, conocimientos y cultura; Posibilitar el acceso de la comunidad a las actividades culturales y artísticas de la población destinataria, personas mayores. ",Decreto Provincial 7121-DH/2023. ,Personas con discapacidad. ,Cumplimiento de la normativa vigente. ,SD,3. Departamentos/ municipios priorizados,Talleres para desarrollar habilidades creativas y recreativas; Encuentros para el esparcimiento y juegos lúdicos.  ,,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Sr. Fernando Verazay ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA DE FORMACIÓN SOCIAL Y ABORDAJE A LAS PERSONAS MIGRANTES ,,PROGRAMA DE FORMACIÓN SOCIAL Y ABORDAJE A LAS PERSONAS MIGRANTES ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,,3-Sin Información,,5-Educación,2-No contributivo,Articular programas de educación destinadas a poblaciones migrantes de carácter permanente en la provincia para afianzar procesos de cohesión e inclusión social. ,"Promover la articulación de acciones territoriales para la educación formal e informal, entendida como un proceso dinámico y permanente de interacción e intercambio entre personas de diferentes culturas, orientada hacia una convivencia basada en el respeto y la complementariedad en concordancia con la diferencia; Brindar aprendizajes pertinentes y de calidad a los niños, niñas, adolescentes, jóvenes, personas adultas y personas adultas mayores, desde el reconocimiento y valoración positiva de la realidad socio ambiental y al diversidad cultural y lingüística que los caracterizan. ",Decreto Provincial 7121-DH/2023. ,Personas educadoras que trabajan por la inclusión.  ,Acceso libre y gratuito ,SD,5. Total provincia,"Capacitaciones: Curso de Actualización Docente “Educación Inclusiva. Estrategias para el Aula”. Capacitaciones para abordar e implementar estrategias inclusivas en el aula, comprendiendo de forma crítica las bases teóricas y metodológicas que sustentan los procesos socioeducativos.  ",,,,,Director Provincial de Protección Social de la Ruralidad y la Interculturalidad. ,Prof. Julieta Dávila ,
38. Jujuy,1. Primaria,2024-07-30,2023,DIRECCIÓN PROVINCIAL DE INCLUSIÓN DE PERSONAS CON DISCAPACIDAD ,,DIRECCIÓN PROVINCIAL DE INCLUSIÓN DE PERSONAS CON DISCAPACIDAD ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Inclusión de Personas con Discapacidad ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,Garantizar los derechos de las personas con discapacidad en el marco de la Convención Internacional PersonasconDiscapacidadLey26.378.,"Garantizar el acceso igualitario al derecho a la educación, salud, vivienda, trabajo, transporte, comunicación y otro; Restituir derechos vulnerados acordes a la normativa Vigente; Generar espacios y acciones concretas para brindar a la población con Discapacidad y a su familia alternativas en el desarrollo ciudadano; Propiciar la concientización de la inclusión del colectivo con discapacidad sin discriminación cumpliendo sus derechos ciudadanos;  Promover la autonomía de personas con Discapacidad. ",Decreto Provincial 7121-DH/2023. ,"En el marco de las políticas inclusivas establecida para capital y localidades del interior por el Gobierno de la provincia, el Ministerio de Desarrollo Humano a través de la Dirección Provincial de Inclusión de Personas con Discapacidad intensificó el trabajo en las áreas destinadas a atender las necesidades de las Personas con Discapacidad, propiciando mayor acceso a las oficinas de gestión de servicios. Es por ello que para la ejecución se coordina con las distintas áreas ministeriales, interministeriales y provinciales; poniendo a disposición de las personas con discapacidad como también de familiares una amplia gama de servicios. Se realizaron intervenciones ",Acceso libre y gratuito. ,SD,5. Total provincia,Programas y Proyectos; Programa de Inclusión Social y Accesibilidad; Proyecto Derechos No Favores; Proyecto Oficina por la Igualdad de Derechos; Programa Emprendimiento Productivos; Programa de Fortalecimiento Familiar; Programa Banco de Elementos; Programa Deporte Adaptado ,,,,,Dirección: Provincial de Inclusión de Personas con Discapacidad ,Abogada Claudia Choque ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROGRAMA DE INCLUSIÓN SOCIAL Y ACCESIBILIDAD ,,PROGRAMA DE INCLUSIÓN SOCIAL Y ACCESIBILIDAD ,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Inclusión de Personas con Discapacidad ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo,"Igualar las posibilidades de las personas con discapacidad con el resto de la población, para el acceso a los recursos del entorno donde desarrollan su cotidianidad. ","Dar efectivo cumplimiento a las normativas vigentes sobre accesibilidad de personas con Discapacidad, Convención Internacional sobre los Derechos de Personas con Discapacidad, Ley Nº 26.378 y Ley Nacional Nº 24.314,modificatoria de la ley Nº22.431; Realizar acciones tendientes a la eliminación de barreras arquitectónicas, comunicacionales y actitudinales que dificultan la inclusión social. ",Decreto Provincial 7121-DH/2023. ,Personas con y sin discapacidad de la provincia. ,"Acceso gratuito a la elaboración de Menús Inclusivo, capacitación de Bibliotecas Accesibles y talleres. Solicitud mediante nota, correo electrónico, o contacto telefónico. ",SD,5. Total provincia,"Bibliotecas Accesibles para personas que presentan dificultades con el formato papel; Menú Inclusivo: carta menú en sistema braille, pictograma, macro tipo y código QR.; Acceso a la lectura: Adaptación de libros impresos al formato digital, braille y audio libro, y talleres de difusión; Juegos adaptados: Adaptación y exposición de juegos de mesas inclusivos; Accesibilidad audiovisual: Talleres de capacitación en guiones de audio descripción y proyección de películas accesibles; Señal ética Accesible: Diseño y elaboración de cartelería en formatos accesibles como macro tipo, braille y pictograma, para la instalación en edificios públicos; Expo de Emprendedores: Formación a emprendedores y posterior realización de exposición es mensuales de las producciones; Relevamiento territorial de accesibilidad (casco céntrico, hoteles, establecimientos gastronómicos); Capacitación a las áreas pertinentes de cada Municipio o Comisión Municipal sobre accesibilidad (supresión de barreras arquitectónicas y comunicacionales). ",,,,,Dirección: Provincial de Inclusión de Personas con Discapacidad ,Abogada Claudia Choque ,
38. Jujuy,1. Primaria,2024-07-30,2023,PROYECTO DE DERECHOS NO FAVORES,,PROYECTO DE DERECHOS NO FAVORES,Ministerio de Desarrollo Humano,Secretaría de Políticas Socioculturales y Abordaje Interseccional,,Dirección Provincial de Inclusión de Personas con Discapacidad ,,3-Sin Información,,"6-Inclusión Social, Cuidados y Crianzas",2-No contributivo," Impulsar el paradigma social que encuadra la Convención sobre los Derechos de las Personas con Discapacidad, poniendo énfasis en la Persona como sujeto de derecho y el respeto a la dignidad humana. ","Promocionarlos derechos y deberes en materia de discapacidad acordes a la normativa vigente (internacional, nacional, provincial y municipal); Fomentar en la ciudadanía actitudes positivas hacia las personas con discapacidad, con acciones de concientización, sensibilización y buen trato, necesarias para la inclusión. ",Decreto Provincial 7121-DH/2023. ,"Personas con discapacidad y sus  familiares, público en general, organizaciones gubernamentales y organizaciones de las sociedad civil. ","Los establecimientos educativos, municipios, comisiones municipales, ONG, accederán a las prestaciones presentando una solicitud formal (escrita, verbal, vía web y/o telefónica). ",SD,5. Total provincia,Talleres; Carpas de Difusión; Jornadas; Cine Móvil; Encuentros ,,,,,Dirección: Provincial de Inclusión de Personas con Discapacidad ,Abogada Claudia Choque ,
